country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","31-05-2025 21:00:00",21.185571,81.343175,NH3,3,4,4
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","31-05-2025 21:00:00",21.185571,81.343175,SO2,9,12,10
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","31-05-2025 21:00:00",21.185571,81.343175,OZONE,8,15,11
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","31-05-2025 21:00:00",21.224231,81.408350,NH3,3,5,4
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","31-05-2025 21:00:00",21.219665,81.630094,PM2.5,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","31-05-2025 21:00:00",22.08815,82.13737,CO,34,48,44
India,Delhi,Delhi,"Alipur, Delhi - DPCC","31-05-2025 21:00:00",28.815329,77.153010,OZONE,4,148,105
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","31-05-2025 21:00:00",28.647622,77.3158090,NO2,59,126,94
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","31-05-2025 21:00:00",28.647622,77.3158090,SO2,24,44,37
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","31-05-2025 21:00:00",28.647622,77.3158090,OZONE,1,132,56
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","31-05-2025 21:00:00",28.695381,77.181665,PM10,145,500,253
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","31-05-2025 21:00:00",28.695381,77.181665,NH3,7,14,10
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","31-05-2025 21:00:00",28.4706914,77.1099364,PM10,95,312,234
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","31-05-2025 21:00:00",28.4706914,77.1099364,CO,2,68,13
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","31-05-2025 21:00:00",28.4706914,77.1099364,OZONE,12,192,134
India,Delhi,Delhi,"Bawana, Delhi - DPCC","31-05-2025 21:00:00",28.776200,77.051074,NO2,11,76,39
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","31-05-2025 21:00:00",28.7256504,77.2011573,NO2,44,90,72
India,Delhi,Delhi,"Narela, Delhi - DPCC","31-05-2025 21:00:00",28.822836,77.101981,SO2,2,24,9
India,Delhi,Delhi,"Narela, Delhi - DPCC","31-05-2025 21:00:00",28.822836,77.101981,OZONE,8,67,46
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","31-05-2025 21:00:00",28.567890,77.250515,SO2,5,26,16
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","31-05-2025 21:00:00",28.6573814,77.1585447,PM10,154,363,215
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","31-05-2025 21:00:00",28.6573814,77.1585447,OZONE,8,300,242
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","31-05-2025 21:00:00",28.530785,77.271255,PM10,147,442,297
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","31-05-2025 21:00:00",28.530785,77.271255,SO2,6,20,12
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","31-05-2025 21:00:00",28.530785,77.271255,OZONE,5,314,215
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","31-05-2025 21:00:00",28.623763,77.287209,NH3,3,5,4
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","31-05-2025 21:00:00",28.580280,77.233829,PM10,145,414,191
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","31-05-2025 21:00:00",28.580280,77.233829,OZONE,10,225,116
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","31-05-2025 21:00:00",28.588333,77.221667,PM10,99,144,116
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","31-05-2025 21:00:00",28.588333,77.221667,SO2,44,50,48
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","31-05-2025 21:00:00",28.5918245,77.2273074,OZONE,9,309,198
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","31-05-2025 21:00:00",28.611281,77.237738,PM2.5,87,315,185
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","31-05-2025 21:00:00",28.611281,77.237738,CO,12,110,45
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","31-05-2025 21:00:00",21.219665,81.630094,NO2,16,26,20
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","31-05-2025 21:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","31-05-2025 21:00:00",21.219665,81.630094,OZONE,4,14,7
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","31-05-2025 21:00:00",21.237755,81.705301,PM10,16,38,27
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","31-05-2025 21:00:00",21.371751,81.664929,NO2,8,12,10
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","31-05-2025 21:00:00",22.06631475,83.33820077,CO,19,48,25
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","31-05-2025 21:00:00",28.674045,77.131023,NO2,NA,NA,NA
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","31-05-2025 21:00:00",28.674045,77.131023,NH3,NA,NA,NA
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","31-05-2025 21:00:00",28.674045,77.131023,SO2,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - DPCC","31-05-2025 21:00:00",28.639652,77.146275,NH3,2,6,4
India,Delhi,Delhi,"Pusa, Delhi - IMD","31-05-2025 21:00:00",28.636110,77.173332,PM10,139,263,180
India,Delhi,Delhi,"Pusa, Delhi - IMD","31-05-2025 21:00:00",28.636110,77.173332,CO,51,105,56
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","31-05-2025 21:00:00",28.563262,77.186937,PM2.5,65,287,165
India,Delhi,Delhi,"Rohini, Delhi - DPCC","31-05-2025 21:00:00",28.732528,77.119920,NH3,NA,NA,NA
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","31-05-2025 21:00:00",28.5512005,77.2735737,CO,69,78,70
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","31-05-2025 21:00:00",28.5512005,77.2735737,OZONE,6,177,101
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","31-05-2025 21:00:00",28.656756,77.227234,PM2.5,112,247,166
India,Delhi,Delhi,"DTU, Delhi - CPCB","31-05-2025 21:00:00",28.7500499,77.1112615,NH3,3,16,11
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","31-05-2025 21:00:00",28.6811736,77.3025234,PM2.5,104,335,228
India,Delhi,Delhi,"ITO, Delhi - CPCB","31-05-2025 21:00:00",28.628624,77.241060,PM2.5,48,312,159
India,Delhi,Delhi,"ITO, Delhi - CPCB","31-05-2025 21:00:00",28.628624,77.241060,NO2,2,197,82
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","31-05-2025 21:00:00",28.732820,77.170633,NO2,33,94,60
India,Delhi,Delhi,"Mundka, Delhi - DPCC","31-05-2025 21:00:00",28.684678,77.076574,CO,8,82,10
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","31-05-2025 21:00:00",28.60909,77.0325413,NH3,10,13,11
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","31-05-2025 21:00:00",28.60909,77.0325413,CO,12,135,71
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","31-05-2025 21:00:00",28.5627763,77.1180053,CO,2,60,6
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","31-05-2025 21:00:00",22.969611,72.643500,NO2,36,78,58
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","31-05-2025 21:00:00",22.969611,72.643500,NH3,7,11,9
